Rank,Title,Author,Published Date
1,THE MARTIAN,Andy Weir,2016-01-03
2,MY BRILLIANT FRIEND,Elena Ferrante,2016-01-03
3,THE ALCHEMIST,Paulo Coelho,2016-01-03
4,BROOKLYN,Colm Toibin,2016-01-03
5,THE MAN IN THE HIGH CASTLE,Philip K Dick,2016-01-03
6,READY PLAYER ONE,Ernest Cline,2016-01-03
7,GREY,E L James,2016-01-03
8,"MERRY CHRISTMAS, ALEX CROSS",James Patterson,2016-01-03
9,ORPHAN TRAIN,Christina Baker Kline,2016-01-03
10,EVERYTHING I NEVER TOLD YOU,Celeste Ng,2016-01-03
11,A MAN CALLED OVE,Fredrik Backman,2016-01-03
12,THE GOLDFINCH,Donna Tartt,2016-01-03
13,THE STORY OF A NEW NAME,Elena Ferrante,2016-01-03
14,STARS OF FORTUNE,Nora Roberts,2016-01-03
15,THE STORY OF THE LOST CHILD,Elena Ferrante,2016-01-03
